Title,Date,Author,Location,Lat,Long
Ciàula scopre la luna,1907,Luigi Pirandello,Aragona,37.44485,13.620481
Il Gattopardo,1958,Lampedusa,Salina,38.571034,14.833773
Il giorno della civetta,1961,Leornardo Sciascia,Sciacca,37.586688,13.077924
