Title,Date,Author,Location,Lat,Long
Fantasticheria,1880,Giovanni Verga,Aci Trezza,37.563867,15.157487
Jeli il pastore,1880,Giovanni Verga,Marineo,37.990455,13.422215
Cose il re,1883,Giovanni Verga,Grammichele,37.256929,14.629972
Cavalleria rusticana ,1890,Pietro Mascagni,Vizzini,37.162578,14.758366
